name,district,latitude,longitude,type
Agrahara,Tamil Nadu,13.4955899,77.20148,village
Agrahara,Tamil Nadu,13.4560327,78.1002248,village
Agrahara,Tamil Nadu,13.2279509,78.0604415,village
Agrahara,Tamil Nadu,13.3119083,78.1304992,village
Agrahara Bachahalli,Tamil Nadu,12.6881877,76.5025848,village
Agrahara Hosahalli,Tamil Nadu,13.0590754,78.0048139,village
Agrahara Layout,Tamil Nadu,13.0978927,77.62596,village
Agrahara Natta Mangalam,Tamil Nadu,11.683575,78.2797213,village
Agrahara Somarasanahalli,Tamil Nadu,13.073294,78.2586953,village
Agrahara Varagerahalli,Tamil Nadu,12.574683,77.1602112,village
Agraharam,Tamil Nadu,13.0368815,80.0937909,village
Agraharam,Tamil Nadu,10.6050589,78.4713292,village
Agraharam,Tamil Nadu,13.2486012,79.1287845,village
Agraharam,Tamil Nadu,13.185544,78.7540951,village
Agraharam,Tamil Nadu,13.2094498,79.1860928,village
