name,type,latitude,longitude,district,state,osm_id
Vellore Old Bus Stand,bus_stop,12.9221524,79.1325219,Ranipet,Tamil Nadu,1348980037
boarder,bus_stop,8.9713384,77.2616747,Tenkasi,Tamil Nadu,1354561546
vanji nagar busstop,bus_stop,8.9571904,77.2669211,Tenkasi,Tamil Nadu,1354562623
KK Nagar MTC Terminus,bus_stop,13.0354223,80.2057167,Chennai,Tamil Nadu,1391028778
IOC MTC Terminus,bus_stop,13.1390688,80.2820311,Chennai,Tamil Nadu,1391573894
Thirovttriyur MTC Terminus,bus_stop,13.1721641,80.3050914,Chennai,Tamil Nadu,1391573897
Puttalam Bus Station,bus_stop,8.0278817,79.8333513,Unknown,Tamil Nadu,1400433846
Thiruporur Bus Stand,bus_stop,12.7220793,80.1877141,Chengalpattu,Tamil Nadu,1423338598
Mangammanapalya,bus_stop,12.9070833,77.6351607,Unknown,Tamil Nadu,1428116573
Mathur MMDA,bus_stop,13.1713741,80.2475064,Chennai,Tamil Nadu,1428608424
Old Bus Stand,bus_stop,11.9297481,79.8239961,Cuddalore,Tamil Nadu,1463853118
"Bus Terminal, Kakkanad",bus_stop,10.0207497,76.3436819,Unknown,Tamil Nadu,1472174498
BMTC,bus_stop,13.0367319,77.5237031,Unknown,Tamil Nadu,1473053490
Pappanamcode,bus_stop,8.4705379,76.9810403,Unknown,Tamil Nadu,1488474515
Kuvempunagar 2nd Stage,bus_stop,13.0730486,77.5413377,Unknown,Tamil Nadu,1529386309
கொல்லங்கோடு - കൊല്ലങ്കോട്,bus_stop,8.2889398,77.1076149,Unknown,Tamil Nadu,1621386442
Thennambulam Mill,bus_stop,10.4325189,79.7756464,Unknown,Tamil Nadu,1666769374
Thennambulam Road,bus_stop,10.4302847,79.7777063,Unknown,Tamil Nadu,1666770107
Sathiraththadi Bus Stop,bus_stop,10.4248918,79.7835285,Unknown,Tamil Nadu,1666770511
Karuppambulam Road Bus Stop,bus_stop,10.4225028,79.7858227,Unknown,Tamil Nadu,1666770866
Kuravappulam Kadaitheru,bus_stop,10.4213315,79.7878694,Unknown,Tamil Nadu,1666771487
Pallipalayam Bus Stop,bus_stop,11.3646481,77.7477792,Erode,Tamil Nadu,1668205940
Karuppambulam,bus_stop,10.388013,79.7885762,Unknown,Tamil Nadu,1671336757
Medavakkam Bus Terminus,bus_stop,12.91956,80.1822542,Chennai,Tamil Nadu,1693526124
Sangama Mekedatu Bus Service,bus_stop,12.2880479,77.4337595,Unknown,Tamil Nadu,1734930814
Tuticorin Old Bus Stand,bus_stop,8.8036808,78.1407943,Unknown,Tamil Nadu,1766472210
Mysore Road Bus Station,bus_stop,12.9534085,77.5435706,Unknown,Tamil Nadu,1789736226
Private Bus Station,bus_stop,13.260185,76.4752039,Unknown,Tamil Nadu,1792724056
Peenya 2nd Stage,bus_stop,13.0108586,77.5069287,Unknown,Tamil Nadu,1794171016
Chintamani Busstand,bus_stop,13.4003275,78.0561454,Unknown,Tamil Nadu,1807179433
SRS Bus Station,bus_stop,12.9803795,77.5760204,Unknown,Tamil Nadu,1809771508
VRL Bus Station,bus_stop,12.9803246,77.5754733,Unknown,Tamil Nadu,1809771510
